,Feature,MI Score
158,Suburb_Dandenong,0.0
159,Suburb_Dandenong North,0.004030354257405833
160,Suburb_Dandenong South,0.0010412279454787843
161,Suburb_Deepdene,0.0
162,Suburb_Deer Park,0.009905386666045679
163,Suburb_Delacombe,0.0009476923666962289
164,Suburb_Delahey,0.0009288174517982917
165,Suburb_Derrimut,0.0015416811649362483
166,Suburb_Devon Meadows,0.0
167,Suburb_Diamond Creek,0.0
168,Suburb_Diggers Rest,0.0
169,Suburb_Dingley Village,0.0039645418764187035
170,Suburb_Docklands,0.006306046368150797
171,Suburb_Doncaster,0.005764857284066061
172,Suburb_Doncaster East,0.01295618021260414
173,Suburb_Donnybrook,0.007444422790886529
174,Suburb_Donvale,0.002345402470904867
175,Suburb_Doveton,0.0019693671415217384
176,Suburb_Dromana,0.0036488068638205196
177,Suburb_Drouin,0.004341965134375014
178,Suburb_Drumcondra,0.0
179,Suburb_Drysdale,0.0
180,Suburb_Eagle Point,0.005031315872944031
181,Suburb_Eaglehawk,0.0
182,Suburb_Eaglemont,0.0007015812472916938
183,Suburb_East Bendigo,0.0
184,Suburb_East Geelong,0.004873333307050753
185,Suburb_East Melbourne,0.0
186,Suburb_Eastwood,0.004847237887597444
187,Suburb_Echuca,0.008145067504276682
188,Suburb_Edithvale,0.0
189,Suburb_Elsternwick,0.009283254484210968
190,Suburb_Eltham,0.0
191,Suburb_Elwood,0.0
192,Suburb_Endeavour Hills,0.0
193,Suburb_Epping,0.00027172221238491723
194,Suburb_Epsom,0.0041736657770696795
195,Suburb_Essendon,0.0028602301436813082
196,Suburb_Essendon North,0.00475894256246856
197,Suburb_Essendon West,0.000586950980377754
198,Suburb_Eumemmerring,0.0
199,Suburb_Eynesbury,0.0
200,Suburb_Fairfield,0.0
201,Suburb_Fawkner,0.0032274406714163373
202,Suburb_Ferntree Gully,0.0
203,Suburb_Fitzroy,0.0
204,Suburb_Fitzroy North,0.0
205,Suburb_Flemington,0.0015092973127706077
206,Suburb_Flora Hill,0.012279133122935937
207,Suburb_Footscray,0.0004985176765452959
208,Suburb_Forest Hill,0.0
209,Suburb_Frankston,0.008186269792765488
210,Suburb_Frankston North,0.0
211,Suburb_Frankston South,0.0
212,Suburb_Fyansford,0.0
213,Suburb_Gardenvale,0.0006355895290182101
214,Suburb_Geelong,0.0019750306288783825
215,Suburb_Geelong West,0.005145205067061509
216,Suburb_Gisborne,0.0
217,Suburb_Gladstone Park,0.0
218,Suburb_Glen Huntly,0.005833600123944072
219,Suburb_Glen Iris,0.0
220,Suburb_Glen Waverley,0.0008940811174276142
221,Suburb_Glengarry,0.009209127864785005
222,Suburb_Glenroy,0.00475499871803664
223,Suburb_Golden Beach,0.004277533596013683
224,Suburb_Golden Gully,0.0033424528068111137
225,Suburb_Golden Point,0.0
226,Suburb_Golden Square,0.0
227,Suburb_Greensborough,0.0012740755071227738
228,Suburb_Greenvale,0.0
229,Suburb_Grovedale,0.006435920455778232
230,Suburb_Hadfield,0.006276587509981502
231,Suburb_Hallam,0.0
232,Suburb_Hamilton,0.0034609554792286445
233,Suburb_Hamlyn Heights,0.0
234,Suburb_Hampton,0.0
235,Suburb_Hampton East,0.004633072857793463
236,Suburb_Hampton Park,0.0
237,Suburb_Harkaway,0.0
238,Suburb_Harkness,0.004953367210899895
239,Suburb_Hastings,0.006354167015158785
240,Suburb_Hawthorn,0.0026112708988292876
241,Suburb_Hawthorn East,0.005718564763078415
242,Suburb_Hazelwood North,0.0
243,Suburb_Heatherton,0.0
244,Suburb_Heathmont,0.0
245,Suburb_Heidelberg,0.0
246,Suburb_Heidelberg Heights,0.005457066781332731
247,Suburb_Heidelberg West,0.0
248,Suburb_Herne Hill,0.0
249,Suburb_Highett,0.004250206166480641
250,Suburb_Highton,0.008213447122096706
251,Suburb_Hillside,0.0
252,Suburb_Hoppers Crossing,0.0
253,Suburb_Horsham,0.0
254,Suburb_Hughesdale,0.0
